[1/480] t1 T1 uyanik: 1662 ms, 103 tok, 59 C
[2/480] t1 T1 yorgun: 1021 ms, 57 tok, 68 C
[3/480] t1 T2 uyanik: 1092 ms, 60 tok, 68 C
[4/480] t1 T2 yorgun: 879 ms, 49 tok, 65 C
[5/480] t1 L1 uyanik: 1669 ms, 96 tok, 65 C
[6/480] t1 L1 yorgun: 2496 ms, 148 tok, 65 C
[7/480] t1 L2 uyanik: 1113 ms, 61 tok, 66 C
[8/480] t1 L2 yorgun: 558 ms, 29 tok, 66 C
[9/480] t1 O1 uyanik: 411 ms, 18 tok, 66 C
[10/480] t1 O1 yorgun: 915 ms, 54 tok, 65 C
[11/480] t1 O2 uyanik: 644 ms, 33 tok, 65 C
[12/480] t1 O2 yorgun: 552 ms, 31 tok, 67 C
[13/480] t1 M1 uyanik: 720 ms, 38 tok, 66 C
[14/480] t1 M1 yorgun: 774 ms, 45 tok, 67 C
[15/480] t1 M2 uyanik: 731 ms, 38 tok, 65 C
[16/480] t1 M2 yorgun: 1693 ms, 101 tok, 67 C
[17/480] t1 B1 uyanik: 2534 ms, 148 tok, 67 C
[18/480] t1 B1 yorgun: 3720 ms, 224 tok, 68 C
[19/480] t1 B2 uyanik: 3367 ms, 199 tok, 66 C
[20/480] t1 B2 yorgun: 2287 ms, 135 tok, 68 C
[21/480] t1 K1 uyanik: 160 ms, 3 tok, 69 C
[22/480] t1 K1 yorgun: 98 ms, 3 tok, 69 C
[23/480] t1 K2 uyanik: 140 ms, 2 tok, 69 C
[24/480] t1 K2 yorgun: 78 ms, 2 tok, 69 C
[25/480] t1 K3 uyanik: 495 ms, 24 tok, 67 C
[26/480] t1 K3 yorgun: 434 ms, 24 tok, 69 C
[27/480] t1 K4 uyanik: 2219 ms, 129 tok, 69 C
[28/480] t1 K4 yorgun: 1841 ms, 108 tok, 69 C
[29/480] t1 K5 uyanik: 758 ms, 40 tok, 69 C
[30/480] t1 K5 yorgun: 732 ms, 40 tok, 69 C
[31/480] t1 U1 uyanik: 7479 ms, 448 tok, 70 C
[32/480] t1 U1 yorgun: 3763 ms, 224 tok, 70 C
[33/480] t1 U2 uyanik: 7464 ms, 448 tok, 71 C
[34/480] t1 U2 yorgun: 3768 ms, 224 tok, 71 C
[35/480] t1 U3 uyanik: 7487 ms, 448 tok, 71 C
[36/480] t1 U3 yorgun: 3755 ms, 224 tok, 72 C
[37/480] t1 U4 uyanik: 7497 ms, 448 tok, 73 C
[38/480] t1 U4 yorgun: 3822 ms, 224 tok, 73 C
[39/480] t1 U5 uyanik: 7546 ms, 448 tok, 73 C
[40/480] t1 U5 yorgun: 3807 ms, 224 tok, 74 C
[41/480] t1 D1 uyanik: 6100 ms, 359 tok, 74 C
[42/480] t1 D1 yorgun: 3793 ms, 224 tok, 75 C
[43/480] t1 D2 uyanik: 6599 ms, 391 tok, 75 C
[44/480] t1 D2 yorgun: 3792 ms, 224 tok, 74 C
[45/480] t1 D3 uyanik: 4015 ms, 236 tok, 75 C
[46/480] t1 D3 yorgun: 2447 ms, 142 tok, 74 C
[47/480] t1 D4 uyanik: 7643 ms, 448 tok, 76 C
[48/480] t1 D4 yorgun: 3871 ms, 224 tok, 76 C
[49/480] t1 D5 uyanik: 746 ms, 36 tok, 76 C
[50/480] t1 D5 yorgun: 1423 ms, 78 tok, 76 C
[51/480] t1 L3 uyanik: 2351 ms, 132 tok, 76 C
[52/480] t1 L3 yorgun: 2027 ms, 112 tok, 76 C
[53/480] t1 L4 uyanik: 6924 ms, 389 tok, 76 C
[54/480] t1 L4 yorgun: 4109 ms, 224 tok, 77 C
[55/480] t1 L5 uyanik: 626 ms, 23 tok, 77 C
[56/480] t1 L5 yorgun: 628 ms, 32 tok, 77 C
[57/480] t1 L6 uyanik: 8296 ms, 448 tok, 75 C
[58/480] t1 L6 yorgun: 4115 ms, 224 tok, 77 C
[59/480] t1 L7 uyanik: 1687 ms, 91 tok, 77 C
[60/480] t1 L7 yorgun: 1453 ms, 80 tok, 77 C
[61/480] t2 T1 uyanik: 1377 ms, 58 tok, 77 C
[62/480] t2 T1 yorgun: 1143 ms, 56 tok, 76 C
[63/480] t2 T2 uyanik: 1428 ms, 68 tok, 77 C
