0.01.958.052 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.964.256 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.01.964.263 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.01.964.407 I srv          init: The UI is disabled
0.01.964.408 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.964.530 W srv  llama_server: -----------------
0.01.964.536 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.964.536 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.964.536 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.964.537 W srv  llama_server: -----------------
0.01.971.163 I srv    load_model: loading model 'C:/Projelerim/modeller/e5-small-alt-q8_0.gguf'
0.03.821.203 W load: model vocab missing newline token, using special_pad_id instead
0.03.962.743 W llama_context: n_ctx_seq (512) > n_ctx_train (511) -- possible training context overflow
0.03.966.368 I cmn          init: llama threadpool init, n_threads = 12
0.03.989.397 W srv    load_model: the slot context (512) exceeds the training context of the model (511) - capping
0.03.989.407 W srv    load_model: speculative decoding not supported by this context
0.03.989.408 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 511, kv_unified = 'true'
0.03.994.748 I srv  llama_server: model loaded
0.03.994.760 I srv  llama_server: listening on http://127.0.0.1:8093
0.04.070.746 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.04.070.773 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.081.414 I slot      release: id  3 | task 0 | stop processing: n_tokens = 21, truncated = 0
0.04.100.262 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.04.100.277 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.04.105.133 I slot      release: id  2 | task 2 | stop processing: n_tokens = 18, truncated = 0
0.04.107.079 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.04.107.092 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.04.119.958 I slot      release: id  1 | task 4 | stop processing: n_tokens = 23, truncated = 0
0.04.122.152 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.122.166 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.04.127.257 I slot      release: id  0 | task 6 | stop processing: n_tokens = 20, truncated = 0
0.04.129.549 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2126848
0.04.129.563 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
0.04.135.224 I slot      release: id  3 | task 8 | stop processing: n_tokens = 21, truncated = 0
0.04.157.852 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2150564
0.04.157.864 I slot launch_slot_: id  2 | task 10 | processing task, is_child = 0
0.04.163.041 I slot      release: id  2 | task 10 | stop processing: n_tokens = 18, truncated = 0
0.04.176.540 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2165389
0.04.176.553 I slot launch_slot_: id  1 | task 12 | processing task, is_child = 0
0.04.181.372 I slot      release: id  1 | task 12 | stop processing: n_tokens = 19, truncated = 0
0.04.206.265 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2172688
0.04.206.273 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.04.211.817 I slot      release: id  0 | task 14 | stop processing: n_tokens = 21, truncated = 0
0.04.214.156 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2180657
0.04.214.168 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
0.04.219.113 I slot      release: id  3 | task 16 | stop processing: n_tokens = 17, truncated = 0
0.04.221.285 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2208474
0.04.221.296 I slot launch_slot_: id  2 | task 18 | processing task, is_child = 0
0.04.226.584 I slot      release: id  2 | task 18 | stop processing: n_tokens = 19, truncated = 0
0.04.228.729 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2226802
0.04.228.743 I slot launch_slot_: id  1 | task 20 | processing task, is_child = 0
0.04.233.690 I slot      release: id  1 | task 20 | stop processing: n_tokens = 18, truncated = 0
0.04.235.752 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2257250
0.04.235.764 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.04.240.892 I slot      release: id  0 | task 22 | stop processing: n_tokens = 18, truncated = 0
0.04.243.036 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2264546
0.04.243.051 I slot launch_slot_: id  3 | task 24 | processing task, is_child = 0
0.04.248.927 I slot      release: id  3 | task 24 | stop processing: n_tokens = 21, truncated = 0
0.04.251.153 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2272016
0.04.251.167 I slot launch_slot_: id  2 | task 26 | processing task, is_child = 0
0.04.256.717 I slot      release: id  2 | task 26 | stop processing: n_tokens = 17, truncated = 0
0.04.258.973 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2279121
0.04.258.986 I slot launch_slot_: id  1 | task 28 | processing task, is_child = 0
0.04.263.849 I slot      release: id  1 | task 28 | stop processing: n_tokens = 15, truncated = 0
0.04.266.159 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2286325
0.04.266.173 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.04.272.201 I slot      release: id  0 | task 30 | stop processing: n_tokens = 18, truncated = 0
0.04.274.784 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2294359
0.04.274.796 I slot launch_slot_: id  3 | task 32 | processing task, is_child = 0
0.04.279.824 I slot      release: id  3 | task 32 | stop processing: n_tokens = 17, truncated = 0
0.04.282.090 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2302150
0.04.282.106 I slot launch_slot_: id  2 | task 34 | processing task, is_child = 0
0.04.286.582 I slot      release: id  2 | task 34 | stop processing: n_tokens = 14, truncated = 0
0.04.288.945 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2309282
0.04.288.960 I slot launch_slot_: id  1 | task 36 | processing task, is_child = 0
0.04.293.760 I slot      release: id  1 | task 36 | stop processing: n_tokens = 15, truncated = 0
0.04.296.495 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2317633
0.04.296.512 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.04.301.719 I slot      release: id  0 | task 38 | stop processing: n_tokens = 15, truncated = 0
0.04.303.774 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2325257
0.04.303.784 I slot launch_slot_: id  3 | task 40 | processing task, is_child = 0
0.04.310.332 I slot      release: id  3 | task 40 | stop processing: n_tokens = 20, truncated = 0
0.04.312.826 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2332015
0.04.312.840 I slot launch_slot_: id  2 | task 42 | processing task, is_child = 0
0.04.318.436 I slot      release: id  2 | task 42 | stop processing: n_tokens = 16, truncated = 0
0.04.320.933 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2339193
0.04.320.946 I slot launch_slot_: id  1 | task 44 | processing task, is_child = 0
0.04.327.354 I slot      release: id  1 | task 44 | stop processing: n_tokens = 21, truncated = 0
0.04.329.905 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2347152
0.04.329.918 I slot launch_slot_: id  0 | task 46 | processing task, is_child = 0
0.04.335.240 I slot      release: id  0 | task 46 | stop processing: n_tokens = 17, truncated = 0
0.04.347.056 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2355767
