0.00.165.527 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.169.892 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.169.897 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.170.000 I srv          init: The UI is disabled
0.00.170.000 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.170.090 W srv  llama_server: -----------------
0.00.170.094 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.170.094 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.170.095 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.170.095 W srv  llama_server: -----------------
0.00.186.198 I srv    load_model: loading model 'C:/Projelerim/modeller/bge-m3-q4_k_m.gguf'
0.01.505.963 W load: model vocab missing newline token, using special_pad_id instead
0.01.712.785 I cmn          init: llama threadpool init, n_threads = 12
0.01.741.798 W srv    load_model: speculative decoding not supported by this context
0.01.741.809 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.745.886 I srv  llama_server: model loaded
0.01.745.896 I srv  llama_server: listening on http://127.0.0.1:8123
0.02.102.610 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.102.636 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.02.159.829 I slot      release: id  3 | task 0 | stop processing: n_tokens = 38, truncated = 0
0.02.162.553 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.02.162.565 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.02.185.937 I slot      release: id  2 | task 2 | stop processing: n_tokens = 18, truncated = 0
0.02.188.646 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.02.188.657 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.02.210.590 I slot      release: id  1 | task 4 | stop processing: n_tokens = 17, truncated = 0
0.02.213.231 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.213.243 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.02.228.763 I slot      release: id  0 | task 6 | stop processing: n_tokens = 10, truncated = 0
0.02.231.251 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1997007
0.02.231.259 I slot launch_slot_: id  3 | task 8 | processing task, is_child = 0
0.02.248.101 I slot      release: id  3 | task 8 | stop processing: n_tokens = 12, truncated = 0
0.02.260.707 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2023115
0.02.260.713 I slot launch_slot_: id  2 | task 10 | processing task, is_child = 0
